Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1400-1600,457,700-800,698,570,Idaho,2019
1200-1390,2647,600-690,3368,2225,Idaho,2019
1000-1190,6732,500-590,6545,6916,Idaho,2019
800-990,7656,400-490,7258,7128,Idaho,2019
600-790,3222,300-390,2828,3749,Idaho,2019
400-590,35,200-290,52,161,Idaho,2019
1400-1600,1957,700-800,2009,2476,Arizona,2019
1200-1390,6020,600-690,6713,5398,Arizona,2019
1000-1190,8463,500-590,7795,8458,Arizona,2019
800-990,4288,400-490,4203,4071,Arizona,2019
600-790,738,300-390,741,1043,Arizona,2019
400-590,6,200-290,11,26,Arizona,2019
1400-1600,2218,700-800,2453,3001,Indiana,2019
1200-1390,10294,600-690,11998,9509,Indiana,2019
1000-1190,21217,500-590,19484,21240,Indiana,2019
800-990,13441,400-490,13288,12532,Indiana,2019
600-790,2368,300-390,2299,3197,Indiana,2019
400-590,27,200-290,43,86,Indiana,2019
1400-1600,217,700-800,285,217,Arkansas,2019
1200-1390,508,600-690,571,439,Arkansas,2019
1000-1190,600,500-590,509,625,Arkansas,2019
800-990,376,400-490,342,384,Arkansas,2019
600-790,87,300-390,81,116,Arkansas,2019
400-590,2,200-290,2,0,Arkansas,2019
1400-1600,200,700-800,312,235,West Virginia,2019
1200-1390,1273,600-690,1987,1009,West Virginia,2019
1000-1190,4709,500-590,4791,4693,West Virginia,2019
800-990,7170,400-490,6900,6724,West Virginia,2019
600-790,3915,300-390,3268,4431,West Virginia,2019
400-590,31,200-290,40,206,West Virginia,2019
1400-1600,6033,700-800,7547,7850,Florida,2019
1200-1390,27656,600-690,36053,22854,Florida,2019
1000-1190,56934,500-590,58960,54301,Florida,2019
800-990,69192,400-490,69138,59677,Florida,2019
600-790,30182,300-390,18705,42072,Florida,2019
400-590,856,200-290,450,4099,Florida,2019
1400-1600,3928,700-800,4072,4852,Maryland,2019
1200-1390,10329,600-690,12028,8873,Maryland,2019
1000-1190,15729,500-590,15281,15720,Maryland,2019
800-990,14446,400-490,14033,13520,Maryland,2019
600-790,6547,300-390,5514,7684,Maryland,2019
400-590,115,200-290,166,445,Maryland,2019
1400-1600,629,700-800,633,723,Wisconsin,2019
1200-1390,734,600-690,711,632,Wisconsin,2019
1000-1190,443,500-590,429,446,Wisconsin,2019
800-990,145,400-490,164,142,Wisconsin,2019
600-790,18,300-390,32,25,Wisconsin,2019
400-590,0,200-290,0,0,Wisconsin,2019
1400-1600,10957,700-800,11710,13669,Texas,2019
1200-1390,35389,600-690,43262,30867,Texas,2019
1000-1190,77059,500-590,74128,79154,Texas,2019
800-990,83089,400-490,78435,78111,Texas,2019
600-790,29029,300-390,27311,32963,Texas,2019
400-590,1142,200-290,1819,1901,Texas,2019
1400-1600,357,700-800,370,433,Kansas,2019
1200-1390,554,600-690,535,459,Kansas,2019
1000-1190,414,500-590,401,424,Kansas,2019
800-990,154,400-490,165,150,Kansas,2019
600-790,16,300-390,24,29,Kansas,2019
400-590,1,200-290,1,0,Kansas,2019
1400-1600,265,700-800,303,300,New Mexico,2019
1200-1390,759,600-690,907,651,New Mexico,2019
1000-1190,1291,500-590,1182,1343,New Mexico,2019
800-990,1058,400-490,1019,999,New Mexico,2019
600-790,331,300-390,292,406,New Mexico,2019
400-590,1,200-290,2,0,New Mexico,2019
1400-1600,353,700-800,444,389,Oklahoma,2019
1200-1390,1044,600-690,1360,847,Oklahoma,2019
1000-1190,2267,500-590,2201,2361,Oklahoma,2019
800-990,3266,400-490,3221,3052,Oklahoma,2019
600-790,2302,300-390,1993,2464,Oklahoma,2019
400-590,40,200-290,53,159,Oklahoma,2019
1400-1600,1427,700-800,1700,1679,Oregon,2019
1200-1390,4556,600-690,5385,3886,Oregon,2019
1000-1190,7466,500-590,6571,7787,Oregon,2019
800-990,4467,400-490,4242,4259,Oregon,2019
600-790,703,300-390,714,995,Oregon,2019
400-590,6,200-290,13,19,Oregon,2019
1400-1600,462,700-800,503,599,Rhode Island,2019
1200-1390,1633,600-690,1990,1418,Rhode Island,2019
1000-1190,3358,500-590,3231,3419,Rhode Island,2019
800-990,3789,400-490,3726,3518,Rhode Island,2019
600-790,2160,300-390,1942,2343,Rhode Island,2019
400-590,76,200-290,86,181,Rhode Island,2019
1400-1600,2689,700-800,3080,3396,Colorado,2019
1200-1390,10062,600-690,11872,8873,Colorado,2019
1000-1190,18805,500-590,18024,19146,Colorado,2019
800-990,19160,400-490,19022,17546,Colorado,2019
600-790,8655,300-390,7351,10041,Colorado,2019
400-590,123,200-290,145,492,Colorado,2019
1400-1600,645,700-800,669,712,Missouri,2019
1200-1390,900,600-690,996,750,Missouri,2019
1000-1190,775,500-590,670,816,Missouri,2019
800-990,277,400-490,259,294,Missouri,2019
600-790,47,300-390,50,72,Missouri,2019
400-590,0,200-290,0,0,Missouri,2019
1400-1600,345,700-800,354,395,Utah,2019
1200-1390,534,600-690,545,473,Utah,2019
1000-1190,425,500-590,394,414,Utah,2019
800-990,177,400-490,186,191,Utah,2019
600-790,25,300-390,27,31,Utah,2019
400-590,0,200-290,0,0,Utah,2019
1400-1600,895,700-800,978,975,Tennessee,2019
1200-1390,1590,600-690,1812,1300,Tennessee,2019
1000-1190,1311,500-590,1060,1399,Tennessee,2019
800-990,472,400-490,428,537,Tennessee,2019
600-790,105,300-390,95,160,Tennessee,2019
400-590,1,200-290,1,0,Tennessee,2019
1400-1600,403,700-800,484,490,Delaware,2019
1200-1390,1437,600-690,1739,1223,Delaware,2019
1000-1190,3095,500-590,3057,3238,Delaware,2019
800-990,3874,400-490,3760,3549,Delaware,2019
600-790,2095,300-390,1833,2309,Delaware,2019
400-590,86,200-290,117,181,Delaware,2019
1400-1600,6298,700-800,6233,7878,Massachusetts,2019
1200-1390,15365,600-690,16804,13750,Massachusetts,2019
1000-1190,21054,500-590,19712,21504,Massachusetts,2019
800-990,13451,400-490,13253,12340,Massachusetts,2019
600-790,3397,300-390,3504,4028,Massachusetts,2019
400-590,106,200-290,165,171,Massachusetts,2019
1400-1600,522,700-800,475,699,Hawaii,2019
1200-1390,1638,600-690,1904,1446,Hawaii,2019
1000-1190,2990,500-590,2790,3109,Hawaii,2019
800-990,1934,400-490,1904,1707,Hawaii,2019
600-790,260,300-390,269,374,Hawaii,2019
400-590,2,200-290,4,11,Hawaii,2019
1400-1600,411,700-800,480,427,Louisiana,2019
1200-1390,731,600-690,818,620,Louisiana,2019
1000-1190,674,500-590,559,693,Louisiana,2019
800-990,325,400-490,292,370,Louisiana,2019
600-790,49,300-390,42,78,Louisiana,2019
400-590,1,200-290,0,0,Louisiana,2019
1400-1600,277,700-800,272,314,Iowa,2019
1200-1390,295,600-690,334,253,Iowa,2019
1000-1190,293,500-590,276,278,Iowa,2019
800-990,117,400-490,100,121,Iowa,2019
600-790,12,300-390,12,27,Iowa,2019
400-590,0,200-290,0,,Iowa,2019
1400-1600,38,700-800,42,33,Wyoming,2019
1200-1390,55,600-690,57,57,Wyoming,2019
1000-1190,40,500-590,41,47,Wyoming,2019
800-990,23,400-490,14,18,Wyoming,2019
600-790,0,300-390,2,0,Wyoming,2019
400-590,0,200-290,0,106,Wyoming,2019
1400-1600,2352,700-800,2377,2935,Ohio,2019
1200-1390,5572,600-690,6155,4873,Ohio,2019
1000-1190,7100,500-590,6638,7245,Ohio,2019
800-990,5628,400-490,5661,5301,Ohio,2019
600-790,2207,300-390,2017,2406,Ohio,2019
400-590,45,200-290,56,144,Ohio,2019
1400-1600,3755,700-800,4245,4613,North Carolina,2019
1200-1390,13117,600-690,15005,11639,North Carolina,2019
1000-1190,20720,500-590,19134,21187,North Carolina,2019
800-990,14330,400-490,13558,13514,North Carolina,2019
600-790,2518,300-390,2487,3431,North Carolina,2019
400-590,22,200-290,33,78,North Carolina,2019
1400-1600,6017,700-800,6262,7956,Pennsylvania,2019
1200-1390,20939,600-690,24522,18429,Pennsylvania,2019
1000-1190,36932,500-590,34698,36514,Pennsylvania,2019
800-990,24835,400-490,24005,23785,Pennsylvania,2019
600-790,6861,300-390,6042,8646,Pennsylvania,2019
400-590,210,200-290,265,464,Pennsylvania,2019
1400-1600,445,700-800,504,460,Alabama,2019
1200-1390,832,600-690,985,703,Alabama,2019
1000-1190,1122,500-590,1049,1129,Alabama,2019
800-990,713,400-490,597,717,Alabama,2019
600-790,128,300-390,105,225,Alabama,2019
400-590,0,200-290,0,0,Alabama,2019
1400-1600,277,700-800,370,326,Vermont,2019
1200-1390,1092,600-690,1252,930,Vermont,2019
1000-1190,1784,500-590,1579,1809,Vermont,2019
800-990,1059,400-490,1012,1043,Vermont,2019
600-790,160,300-390,159,259,Vermont,2019
400-590,1,200-290,1,0,Vermont,2019
1400-1600,205,700-800,237,203,Mississippi,2019
1200-1390,256,600-690,269,214,Mississippi,2019
1000-1190,216,500-590,191,244,Mississippi,2019
800-990,94,400-490,75,99,Mississippi,2019
600-790,9,300-390,8,18,Mississippi,2019
400-590,1,200-290,1,,Mississippi,2019
1400-1600,516,700-800,515,622,Nevada,2019
1200-1390,1448,600-690,1700,1341,Nevada,2019
1000-1190,2113,500-590,1855,2071,Nevada,2019
800-990,800,400-490,792,783,Nevada,2019
600-790,80,300-390,94,136,Nevada,2019
400-590,0,200-290,1,0,Nevada,2019
1400-1600,2987,700-800,3113,3768,Connecticut,2019
1200-1390,8490,600-690,10202,7142,Connecticut,2019
1000-1190,13651,500-590,13237,13639,Connecticut,2019
800-990,12439,400-490,11666,11637,Connecticut,2019
600-790,6255,300-390,5554,7390,Connecticut,2019
400-590,207,200-290,257,453,Connecticut,2019
1400-1600,203,700-800,200,229,Nebraska,2019
1200-1390,255,600-690,272,211,Nebraska,2019
1000-1190,185,500-590,161,194,Nebraska,2019
800-990,68,400-490,71,70,Nebraska,2019
600-790,3,300-390,10,10,Nebraska,2019
400-590,0,200-290,0,,Nebraska,2019
1400-1600,160,700-800,223,203,Alaska,2019
1200-1390,770,600-690,907,648,Alaska,2019
1000-1190,1315,500-590,1184,1356,Alaska,2019
800-990,849,400-490,782,815,Alaska,2019
600-790,117,300-390,113,185,Alaska,2019
400-590,1,200-290,3,0,Alaska,2019
1400-1600,447,700-800,479,506,Kentucky,2019
1200-1390,767,600-690,827,638,Kentucky,2019
1000-1190,596,500-590,523,623,Kentucky,2019
800-990,212,400-490,193,221,Kentucky,2019
600-790,25,300-390,25,55,Kentucky,2019
400-590,0,200-290,0,0,Kentucky,2019
1400-1600,5499,700-800,6132,6455,Virginia,2019
1200-1390,15508,600-690,18675,12843,Virginia,2019
1000-1190,23492,500-590,21468,23486,Virginia,2019
800-990,14159,400-490,12562,14629,Virginia,2019
600-790,2497,300-390,2303,3666,Virginia,2019
400-590,27,200-290,42,103,Virginia,2019
