Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1400-1600,886,700-800,910,1128,New Hampshire,2019
1200-1390,2753,600-690,3212,2415,New Hampshire,2019
1000-1190,5179,500-590,4927,5391,New Hampshire,2019
800-990,4238,400-490,4039,3736,New Hampshire,2019
600-790,1366,300-390,1313,1706,New Hampshire,2019
400-590,42,200-290,63,88,New Hampshire,2019
1400-1600,3506,700-800,3779,4418,Washington,2019
1200-1390,10453,600-690,11840,9260,Washington,2019
1000-1190,17516,500-590,16253,18033,Washington,2019
800-990,13732,400-490,13338,12784,Washington,2019
600-790,4295,300-390,4224,4848,Washington,2019
400-590,128,200-290,196,287,Washington,2019
1400-1600,80,700-800,84,88,South Dakota,2019
1200-1390,97,600-690,93,75,South Dakota,2019
1000-1190,66,500-590,67,79,South Dakota,2019
800-990,21,400-490,20,21,South Dakota,2019
600-790,2,300-390,2,0,South Dakota,2019
400-590,0,200-290,0,306,South Dakota,2019
1400-1600,566,700-800,643,749,Maine,2019
1200-1390,2062,600-690,2547,1813,Maine,2019
1000-1190,4696,500-590,4396,4746,Maine,2019
800-990,4802,400-490,4695,4475,Maine,2019
600-790,2035,300-390,1878,2273,Maine,2019
400-590,49,200-290,51,154,Maine,2019
1400-1600,8096,700-800,7125,10617,New Jersey,2019
1200-1390,18871,600-690,21227,16875,New Jersey,2019
1000-1190,28137,500-590,27434,28124,New Jersey,2019
800-990,21684,400-490,21542,19737,New Jersey,2019
600-790,7696,300-390,7132,8835,New Jersey,2019
400-590,118,200-290,142,414,New Jersey,2019
1400-1600,22462,700-800,20368,29186,California,2019
1200-1390,52151,600-690,60311,46192,California,2019
1000-1190,88790,500-590,86670,89512,California,2019
800-990,81409,400-490,81134,71871,California,2019
600-790,27507,300-390,23658,34485,California,2019
400-590,573,200-290,751,1646,California,2019
1400-1600,811,700-800,764,929,Minnesota,2019
1200-1390,971,600-690,1002,829,Minnesota,2019
1000-1190,609,500-590,575,619,Minnesota,2019
800-990,164,400-490,204,167,Minnesota,2019
600-790,12,300-390,22,23,Minnesota,2019
400-590,0,200-290,0,0,Minnesota,2019
1400-1600,7065,700-800,6731,9465,Illinois,2019
1200-1390,22314,600-690,25460,20648,Illinois,2019
1000-1190,43847,500-590,43092,44921,Illinois,2019
800-990,49297,400-490,50440,43837,Illinois,2019
600-790,23893,300-390,20672,26418,Illinois,2019
400-590,265,200-290,286,1392,Illinois,2019
1400-1600,43,700-800,40,47,North Dakota,2019
1200-1390,61,600-690,64,48,North Dakota,2019
1000-1190,29,500-590,26,40,North Dakota,2019
800-990,15,400-490,16,10,North Dakota,2019
600-790,1,300-390,3,0,North Dakota,2019
400-590,0,200-290,0,406,North Dakota,2019
1400-1600,11586,700-800,10545,15946,New York,2019
1200-1390,32866,600-690,35444,31231,New York,2019
1000-1190,54179,500-590,53138,53436,New York,2019
800-990,45976,400-490,46404,39949,New York,2019
600-790,17165,300-390,16000,20557,New York,2019
400-590,407,200-290,648,1060,New York,2019
1400-1600,1092,700-800,1430,1283,South Carolina,2019
1200-1390,5236,600-690,6764,4264,South Carolina,2019
1000-1190,11037,500-590,10699,11058,South Carolina,2019
800-990,10966,400-490,9862,10501,South Carolina,2019
600-790,3264,300-390,2818,4401,South Carolina,2019
400-590,38,200-290,60,126,South Carolina,2019
1400-1600,114,700-800,131,136,Montana,2019
1200-1390,330,600-690,368,285,Montana,2019
1000-1190,336,500-590,287,348,Montana,2019
800-990,91,400-490,83,99,Montana,2019
600-790,9,300-390,11,12,Montana,2019
400-590,0,200-290,0,0,Montana,2019
1400-1600,4352,700-800,4531,5833,Michigan,2019
1200-1390,16123,600-690,19211,14463,Michigan,2019
1000-1190,35186,500-590,34651,35442,Michigan,2019
800-990,38709,400-490,38742,35077,Michigan,2019
600-790,19145,300-390,16331,21817,Michigan,2019
400-590,209,200-290,258,1092,Michigan,2019
1400-1600,3860,700-800,4427,4676,Georgia,2019
1200-1390,13768,600-690,17487,11232,Georgia,2019
1000-1190,28591,500-590,27466,28446,Georgia,2019
800-990,24772,400-490,22320,24219,Georgia,2019
600-790,5316,300-390,4585,7586,Georgia,2019
400-590,33,200-290,55,181,Georgia,2019
