Total Score Interval,Total,Score Interval,EWR,Math,State,Year
600-790,3380,300-390,2850,4175,West Virginia,2022
400-590,42,200-290,52,145,West Virginia,2022
1400-1600,6259,700-800,8300,7473,Florida,2022
1200-1390,25167,600-690,31776,20381,Florida,2022
1000-1190,50476,500-590,56532,48310,Florida,2022
800-990,73654,400-490,72332,62065,Florida,2022
600-790,33734,300-390,20691,47725,Florida,2022
400-590,1137,200-290,796,4473,Florida,2022
1400-1600,3579,700-800,3944,4095,Maryland,2022
1200-1390,7744,600-690,9135,6550,Maryland,2022
1000-1190,12508,500-590,12226,12299,Maryland,2022
800-990,11650,400-490,10807,10936,Maryland,2022
600-790,3530,300-390,2862,5040,Maryland,2022
400-590,72,200-290,109,163,Maryland,2022
1400-1600,383,700-800,380,437,Wisconsin,2022
1200-1390,493,600-690,486,411,Wisconsin,2022
1000-1190,312,500-590,310,326,Wisconsin,2022
800-990,149,400-490,157,148,Wisconsin,2022
600-790,24,300-390,28,37,Wisconsin,2022
400-590,0,200-290,0,0,Wisconsin,2022
1400-1600,10612,700-800,11814,12401,Texas,2022
1200-1390,31006,600-690,37543,28240,Texas,2022
1000-1190,72517,500-590,72169,73954,Texas,2022
800-990,92403,400-490,88604,84642,Texas,2022
600-790,35711,300-390,31330,42130,Texas,2022
400-590,1161,200-290,1950,2043,Texas,2022
1400-1600,208,700-800,221,227,Kansas,2022
1200-1390,310,600-690,323,277,Kansas,2022
1000-1190,244,500-590,217,244,Kansas,2022
800-990,91,400-490,93,93,Kansas,2022
600-790,10,300-390,9,20,Kansas,2022
400-590,0,200-290,0,0,Kansas,2022
1400-1600,279,700-800,353,325,New Mexico,2022
1200-1390,1016,600-690,1239,882,New Mexico,2022
1000-1190,2351,500-590,2418,2391,New Mexico,2022
800-990,3585,400-490,3486,3293,New Mexico,2022
600-790,1626,300-390,1356,1932,New Mexico,2022
400-590,18,200-290,23,52,New Mexico,2022
1400-1600,239,700-800,329,246,Oklahoma,2022
1200-1390,753,600-690,971,681,Oklahoma,2022
1000-1190,1890,500-590,1952,1838,Oklahoma,2022
800-990,3159,400-490,2972,2944,Oklahoma,2022
600-790,1899,300-390,1713,2170,Oklahoma,2022
