Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1200-1390,2239,600-690,2764,1919,Idaho,2021
1000-1190,6158,500-590,6337,6176,Idaho,2021
800-990,7175,400-490,6784,6370,Idaho,2021
600-790,3178,300-390,2659,4156,Idaho,2021
400-590,48,200-290,66,133,Idaho,2021
1400-1600,1236,700-800,1345,1498,Arizona,2021
1200-1390,3113,600-690,3216,2763,Arizona,2021
1000-1190,3177,500-590,2973,3149,Arizona,2021
800-990,1256,400-490,1252,1272,Arizona,2021
600-790,226,300-390,217,321,Arizona,2021
400-590,2,200-290,7,0,Arizona,2021
1400-1600,1669,700-800,2099,2132,Indiana,2021
1200-1390,7561,600-690,8364,6895,Indiana,2021
1000-1190,13983,500-590,12997,13940,Indiana,2021
800-990,8086,400-490,7872,7653,Indiana,2021
600-790,1352,300-390,1316,2007,Indiana,2021
400-590,20,200-290,23,44,Indiana,2021
1400-1600,115,700-800,158,107,Arkansas,2021
1200-1390,304,600-690,304,252,Arkansas,2021
1000-1190,252,500-590,236,278,Arkansas,2021
800-990,110,400-490,85,124,Arkansas,2021
600-790,11,300-390,9,30,Arkansas,2021
400-590,0,200-290,0,0,Arkansas,2021
1400-1600,140,700-800,246,161,West Virginia,2021
1200-1390,927,600-690,1434,697,West Virginia,2021
1000-1190,2978,500-590,3042,2811,West Virginia,2021
800-990,3236,400-490,2765,3024,West Virginia,2021
600-790,788,300-390,582,1358,West Virginia,2021
400-590,4,200-290,4,22,West Virginia,2021
1400-1600,5594,700-800,7752,6858,Florida,2021
1200-1390,25031,600-690,30835,20174,Florida,2021
1000-1190,48776,500-590,51789,46492,Florida,2021
800-990,62964,400-490,63269,54867,Florida,2021
600-790,29612,300-390,18649,40848,Florida,2021
400-590,892,200-290,575,3630,Florida,2021
1400-1600,3128,700-800,3330,3730,Maryland,2021
1200-1390,7013,600-690,7817,6015,Maryland,2021
1000-1190,10281,500-590,10112,10229,Maryland,2021
800-990,9059,400-490,8900,8471,Maryland,2021
600-790,3925,300-390,3185,4833,Maryland,2021
400-590,51,200-290,113,179,Maryland,2021
1400-1600,204,700-800,197,253,Wisconsin,2021
1200-1390,306,600-690,305,244,Wisconsin,2021
1000-1190,215,500-590,212,225,Wisconsin,2021
800-990,121,400-490,130,103,Wisconsin,2021
600-790,27,300-390,28,47,Wisconsin,2021
400-590,1,200-290,2,0,Wisconsin,2021
1400-1600,9597,700-800,10785,11316,Texas,2021
1200-1390,29936,600-690,35287,26904,Texas,2021
1000-1190,68932,500-590,67533,72203,Texas,2021
800-990,82131,400-490,79092,75055,Texas,2021
600-790,33848,300-390,30791,38192,Texas,2021
400-590,1241,200-290,2197,2015,Texas,2021
1400-1600,164,700-800,178,193,Kansas,2021
1200-1390,274,600-690,266,228,Kansas,2021
1000-1190,213,500-590,192,220,Kansas,2021
800-990,67,400-490,75,74,Kansas,2021
600-790,3,300-390,10,0,Kansas,2021
400-590,0,200-290,0,606,Kansas,2021
1400-1600,229,700-800,279,267,New Mexico,2021
1200-1390,796,600-690,973,684,New Mexico,2021
1000-1190,1887,500-590,1922,1844,New Mexico,2021
800-990,2397,400-490,2375,2072,New Mexico,2021
600-790,953,300-390,710,1367,New Mexico,2021
400-590,8,200-290,11,36,New Mexico,2021
1400-1600,168,700-800,225,167,Oklahoma,2021
1200-1390,501,600-690,618,444,Oklahoma,2021
1000-1190,777,500-590,750,764,Oklahoma,2021
800-990,842,400-490,763,794,Oklahoma,2021
600-790,337,300-390,264,447,Oklahoma,2021
400-590,6,200-290,11,15,Oklahoma,2021
1400-1600,760,700-800,873,870,Oregon,2021
1200-1390,1809,600-690,2063,1576,Oregon,2021
1000-1190,2525,500-590,2277,2600,Oregon,2021
800-990,1653,400-490,1552,1560,Oregon,2021
600-790,415,300-390,392,544,Oregon,2021
400-590,14,200-290,19,26,Oregon,2021
1400-1600,347,700-800,424,392,Rhode Island,2021
1200-1390,1159,600-690,1384,1043,Rhode Island,2021
1000-1190,2481,500-590,2495,2398,Rhode Island,2021
800-990,2552,400-490,2470,2309,Rhode Island,2021
600-790,1272,300-390,1027,1615,Rhode Island,2021
400-590,22,200-290,33,76,Rhode Island,2021
1400-1600,2176,700-800,2583,2580,Colorado,2021
1200-1390,7475,600-690,8528,6504,Colorado,2021
1000-1190,12574,500-590,12203,12418,Colorado,2021
800-990,9638,400-490,9003,8984,Colorado,2021
600-790,3052,300-390,2589,4336,Colorado,2021
400-590,37,200-290,46,130,Colorado,2021
1400-1600,396,700-800,432,431,Missouri,2021
1200-1390,628,600-690,649,536,Missouri,2021
1000-1190,499,500-590,454,520,Missouri,2021
800-990,221,400-490,222,223,Missouri,2021
600-790,52,300-390,39,85,Missouri,2021
400-590,0,200-290,0,0,Missouri,2021
1400-1600,140,700-800,153,165,Utah,2021
1200-1390,273,600-690,267,229,Utah,2021
1000-1190,165,500-590,153,171,Utah,2021
800-990,65,400-490,67,71,Utah,2021
600-790,10,300-390,14,17,Utah,2021
400-590,1,200-290,0,0,Utah,2021
1400-1600,513,700-800,592,548,Tennessee,2021
1200-1390,988,600-690,1041,797,Tennessee,2021
1000-1190,786,500-590,712,858,Tennessee,2021
800-990,280,400-490,230,327,Tennessee,2021
600-790,57,300-390,48,89,Tennessee,2021
400-590,1,200-290,2,0,Tennessee,2021
1400-1600,373,700-800,467,405,Delaware,2021
1200-1390,1237,600-690,1531,1080,Delaware,2021
1000-1190,2998,500-590,2939,3101,Delaware,2021
800-990,3688,400-490,3541,3440,Delaware,2021
600-790,1935,300-390,1730,2152,Delaware,2021
400-590,58,200-290,81,111,Delaware,2021
1400-1600,4622,700-800,4634,5365,Massachusetts,2021
1200-1390,8301,600-690,8768,7546,Massachusetts,2021
1000-1190,9410,500-590,8943,9252,Massachusetts,2021
800-990,4220,400-490,4182,4022,Massachusetts,2021
600-790,694,300-390,704,1046,Massachusetts,2021
400-590,8,200-290,24,24,Massachusetts,2021
1400-1600,404,700-800,394,519,Hawaii,2021
1200-1390,1064,600-690,1199,931,Hawaii,2021
1000-1190,1545,500-590,1399,1551,Hawaii,2021
800-990,746,400-490,759,705,Hawaii,2021
600-790,89,300-390,94,141,Hawaii,2021
400-590,0,200-290,3,0,Hawaii,2021
1400-1600,244,700-800,285,257,Louisiana,2021
1200-1390,471,600-690,527,385,Louisiana,2021
1000-1190,426,500-590,356,447,Louisiana,2021
800-990,221,400-490,208,238,Louisiana,2021
600-790,47,300-390,33,81,Louisiana,2021
400-590,0,200-290,0,0,Louisiana,2021
1400-1600,151,700-800,164,179,Iowa,2021
1200-1390,234,600-690,232,201,Iowa,2021
1000-1190,164,500-590,156,159,Iowa,2021
800-990,67,400-490,67,66,Iowa,2021
600-790,9,300-390,6,20,Iowa,2021
400-590,0,200-290,0,0,Iowa,2021
1400-1600,13,700-800,18,14,Wyoming,2021
1200-1390,47,600-690,51,39,Wyoming,2021
1000-1190,32,500-590,25,40,Wyoming,2021
800-990,7,400-490,5,0,Wyoming,2021
600-790,0,300-390,0,0,Wyoming,2021
400-590,0,200-290,0,0,Wyoming,2021
1400-1600,1505,700-800,1592,1853,Ohio,2021
1200-1390,3773,600-690,4071,3453,Ohio,2021
1000-1190,5865,500-590,5585,6058,Ohio,2021
800-990,5446,400-490,5534,5037,Ohio,2021
600-790,2994,300-390,2792,3094,Ohio,2021
400-590,56,200-290,65,144,Ohio,2021
1400-1600,2581,700-800,2971,3082,North Carolina,2021
1200-1390,8058,600-690,8642,7196,North Carolina,2021
1000-1190,10511,500-590,9740,10505,North Carolina,2021
800-990,4776,400-490,4585,4699,North Carolina,2021
600-790,583,300-390,567,1007,North Carolina,2021
400-590,11,200-290,15,31,North Carolina,2021
1400-1600,4722,700-800,5364,5731,Pennsylvania,2021
1200-1390,14692,600-690,16214,13204,Pennsylvania,2021
1000-1190,23444,500-590,22161,22950,Pennsylvania,2021
800-990,12032,400-490,11300,11815,Pennsylvania,2021
600-790,1985,300-390,1831,3123,Pennsylvania,2021
400-590,59,200-290,64,111,Pennsylvania,2021
1400-1600,206,700-800,256,245,Alabama,2021
1200-1390,513,600-690,610,395,Alabama,2021
1000-1190,635,500-590,534,633,Alabama,2021
800-990,309,400-490,266,353,Alabama,2021
600-790,43,300-390,40,79,Alabama,2021
400-590,0,200-290,0,0,Alabama,2021
1400-1600,203,700-800,264,251,Vermont,2021
1200-1390,727,600-690,839,585,Vermont,2021
1000-1190,1069,500-590,940,1045,Vermont,2021
800-990,547,400-490,508,593,Vermont,2021
600-790,85,300-390,79,157,Vermont,2021
400-590,2,200-290,3,0,Vermont,2021
1400-1600,62,700-800,90,68,Mississippi,2021
1200-1390,162,600-690,169,125,Mississippi,2021
1000-1190,139,500-590,111,157,Mississippi,2021
800-990,56,400-490,50,66,Mississippi,2021
600-790,4,300-390,2,0,Mississippi,2021
400-590,0,200-290,1,705,Mississippi,2021
1400-1600,233,700-800,227,263,Nevada,2021
1200-1390,411,600-690,444,372,Nevada,2021
1000-1190,444,500-590,415,447,Nevada,2021
800-990,185,400-490,181,175,Nevada,2021
600-790,22,300-390,28,38,Nevada,2021
400-590,0,200-290,0,0,Nevada,2021
1400-1600,2554,700-800,2754,2941,Connecticut,2021
1200-1390,6210,600-690,7351,5320,Connecticut,2021
1000-1190,9979,500-590,9976,9592,Connecticut,2021
800-990,8427,400-490,7795,7803,Connecticut,2021
600-790,3253,300-390,2508,4650,Connecticut,2021
400-590,64,200-290,103,181,Connecticut,2021
1400-1600,88,700-800,97,99,Nebraska,2021
1200-1390,147,600-690,156,130,Nebraska,2021
1000-1190,100,500-590,83,104,Nebraska,2021
800-990,37,400-490,38,37,Nebraska,2021
600-790,7,300-390,5,0,Nebraska,2021
400-590,0,200-290,0,906,Nebraska,2021
1400-1600,138,700-800,180,143,Alaska,2021
1200-1390,511,600-690,559,455,Alaska,2021
1000-1190,706,500-590,643,729,Alaska,2021
800-990,412,400-490,391,411,Alaska,2021
600-790,74,300-390,68,102,Alaska,2021
400-590,1,200-290,1,0,Alaska,2021
1400-1600,182,700-800,216,214,Kentucky,2021
1200-1390,430,600-690,452,353,Kentucky,2021
1000-1190,353,500-590,309,357,Kentucky,2021
800-990,107,400-490,91,134,Kentucky,2021
600-790,8,300-390,12,22,Kentucky,2021
400-590,0,200-290,0,0,Kentucky,2021
1400-1600,4764,700-800,5374,5376,Virginia,2021
1200-1390,10815,600-690,12462,9010,Virginia,2021
1000-1190,14867,500-590,13781,14638,Virginia,2021
800-990,7505,400-490,6372,8038,Virginia,2021
600-790,969,300-390,918,1830,Virginia,2021
400-590,7,200-290,20,35,Virginia,2021
