Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1400-1600,766,700-800,878,899,New Hampshire,2021
1200-1390,1976,600-690,2365,1640,New Hampshire,2021
1000-1190,4041,500-590,3911,4068,New Hampshire,2021
800-990,3348,400-490,3041,3121,New Hampshire,2021
600-790,888,300-390,818,1264,New Hampshire,2021
400-590,31,200-290,37,58,New Hampshire,2021
1400-1600,1895,700-800,2051,2216,Washington,2021
1200-1390,4204,600-690,4453,3787,Washington,2021
1000-1190,5997,500-590,5746,6265,Washington,2021
800-990,5488,400-490,5376,5088,Washington,2021
600-790,2313,300-390,2237,2464,Washington,2021
400-590,82,200-290,116,159,Washington,2021
1400-1600,23,700-800,25,33,South Dakota,2021
1200-1390,57,600-690,52,46,South Dakota,2021
1000-1190,43,500-590,42,44,South Dakota,2021
800-990,12,400-490,19,0,South Dakota,2021
600-790,4,300-390,1,0,South Dakota,2021
400-590,0,200-290,0,0,South Dakota,2021
1400-1600,271,700-800,380,347,Maine,2021
1200-1390,1012,600-690,1139,824,Maine,2021
1000-1190,1646,500-590,1551,1609,Maine,2021
800-990,1005,400-490,897,1015,Maine,2021
600-790,237,300-390,204,372,Maine,2021
400-590,6,200-290,6,10,Maine,2021
1400-1600,6920,700-800,6421,8467,New Jersey,2021
1200-1390,13534,600-690,14731,12321,New Jersey,2021
1000-1190,18279,500-590,18012,17730,New Jersey,2021
800-990,11915,400-490,11713,11120,New Jersey,2021
600-790,3705,300-390,3451,4573,New Jersey,2021
400-590,62,200-290,87,204,New Jersey,2021
1400-1600,13968,700-800,12703,17172,California,2021
1200-1390,21564,600-690,23210,19227,California,2021
1000-1190,28091,500-590,28661,28290,California,2021
800-990,33335,400-490,34581,30760,California,2021
600-790,18892,300-390,16377,19853,California,2021
400-590,544,200-290,862,1092,California,2021
1400-1600,477,700-800,480,573,Minnesota,2021
1200-1390,649,600-690,642,557,Minnesota,2021
1000-1190,408,500-590,393,409,Minnesota,2021
800-990,147,400-490,167,129,Minnesota,2021
600-790,28,300-390,27,41,Minnesota,2021
400-590,0,200-290,0,0,Minnesota,2021
1400-1600,5762,700-800,5914,7338,Illinois,2021
1200-1390,16964,600-690,19752,15287,Illinois,2021
1000-1190,35180,500-590,35659,34968,Illinois,2021
800-990,40785,400-490,40128,35909,Illinois,2021
600-790,20106,300-390,17324,24526,Illinois,2021
400-590,269,200-290,289,1038,Illinois,2021
1400-1600,23,700-800,25,25,North Dakota,2021
1200-1390,42,600-690,42,32,North Dakota,2021
1000-1190,22,500-590,16,31,North Dakota,2021
800-990,8,400-490,12,0,North Dakota,2021
600-790,1,300-390,1,0,North Dakota,2021
400-590,0,200-290,0,0,North Dakota,2021
1400-1600,9580,700-800,8958,12511,New York,2021
1200-1390,23058,600-690,23539,22265,New York,2021
1000-1190,35163,500-590,34651,35219,New York,2021
800-990,32718,400-490,34696,28627,New York,2021
600-790,15288,300-390,13771,16647,New York,2021
400-590,412,200-290,604,950,New York,2021
1400-1600,901,700-800,1339,1006,South Carolina,2021
1200-1390,4350,600-690,5311,3612,South Carolina,2021
1000-1190,9214,500-590,9007,9091,South Carolina,2021
800-990,8580,400-490,7815,8314,South Carolina,2021
600-790,2526,300-390,2067,3499,South Carolina,2021
400-590,24,200-290,56,73,South Carolina,2021
1400-1600,84,700-800,97,97,Montana,2021
1200-1390,193,600-690,198,161,Montana,2021
1000-1190,168,500-590,146,177,Montana,2021
800-990,41,400-490,44,47,Montana,2021
600-790,3,300-390,4,0,Montana,2021
400-590,0,200-290,0,706,Montana,2021
1400-1600,3323,700-800,3873,4083,Michigan,2021
1200-1390,11844,600-690,13872,10527,Michigan,2021
1000-1190,24355,500-590,24269,24075,Michigan,2021
800-990,23126,400-490,22077,20530,Michigan,2021
600-790,9168,300-390,7727,12278,Michigan,2021
400-590,119,200-290,117,442,Michigan,2021
1400-1600,3096,700-800,3740,3708,Georgia,2021
1200-1390,11335,600-690,12987,9220,Georgia,2021
1000-1190,18330,500-590,17527,18584,Georgia,2021
800-990,13359,400-490,12343,13218,Georgia,2021
600-790,3003,300-390,2496,4325,Georgia,2021
400-590,47,200-290,77,115,Georgia,2021
1400-1600,413,700-800,601,457,Idaho,2021
