Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1200-1390,33998,600-690,37011,31175,New York,2018
1000-1190,56915,500-590,55561,56288,New York,2018
800-990,45409,400-490,45508,40578,New York,2018
600-790,15234,300-390,13892,18165,New York,2018
400-590,397,200-290,610,1268,New York,2018
1400-1600,1081,700-800,1465,1289,South Carolina,2018
1200-1390,5183,600-690,6432,4166,South Carolina,2018
1000-1190,10146,500-590,9649,10088,South Carolina,2018
800-990,7588,400-490,6749,7488,South Carolina,2018
600-790,1384,300-390,1070,2321,South Carolina,2018
400-590,8,200-290,25,38,South Carolina,2018
1400-1600,134,700-800,162,140,Montana,2018
1200-1390,332,600-690,372,296,Montana,2018
1000-1190,376,500-590,320,387,Montana,2018
800-990,107,400-490,91,117,Montana,2018
600-790,3,300-390,7,12,Montana,2018
400-590,0,200-290,0,,Montana,2018
1400-1600,4276,700-800,4795,5617,Michigan,2018
1200-1390,16834,600-690,20562,14534,Michigan,2018
1000-1190,37453,500-590,36578,37445,Michigan,2018
800-990,39323,400-490,37802,36911,Michigan,2018
600-790,17176,300-390,15210,19567,Michigan,2018
400-590,219,200-290,334,1207,Michigan,2018
1400-1600,3548,700-800,4218,4419,Georgia,2018
1200-1390,14336,600-690,17656,11492,Georgia,2018
1000-1190,28406,500-590,27807,28341,Georgia,2018
800-990,23413,400-490,20824,22830,Georgia,2018
600-790,4516,300-390,3697,7023,Georgia,2018
400-590,21,200-290,38,135,Georgia,2018
1400-1600,465,700-800,659,563,Idaho,2018
1200-1390,2693,600-690,3479,2245,Idaho,2018
1000-1190,6897,500-590,6724,7077,Idaho,2018
800-990,7554,400-490,7001,7174,Idaho,2018
600-790,2840,300-390,2563,3226,Idaho,2018
400-590,35,200-290,58,199,Idaho,2018
1400-1600,1789,700-800,1942,2330,Arizona,2018
1200-1390,6108,600-690,6682,5350,Arizona,2018
1000-1190,8436,500-590,7754,8415,Arizona,2018
800-990,3497,400-490,3437,3454,Arizona,2018
600-790,358,300-390,369,630,Arizona,2018
400-590,0,200-290,4,0,Arizona,2018
1400-1600,2066,700-800,2359,2968,Indiana,2018
1200-1390,10482,600-690,12118,9314,Indiana,2018
1000-1190,21554,500-590,20202,21534,Indiana,2018
800-990,12929,400-490,12365,12216,Indiana,2018
600-790,1922,300-390,1903,2861,Indiana,2018
400-590,9,200-290,15,69,Indiana,2018
1400-1600,238,700-800,280,260,Arkansas,2018
1200-1390,492,600-690,553,377,Arkansas,2018
1000-1190,539,500-590,455,607,Arkansas,2018
800-990,268,400-490,248,276,Arkansas,2018
600-790,54,300-390,54,70,Arkansas,2018
400-590,0,200-290,1,0,Arkansas,2018
1400-1600,159,700-800,206,187,West Virginia,2018
1200-1390,606,600-690,842,479,West Virginia,2018
1000-1190,1614,500-590,1701,1523,West Virginia,2018
800-990,1994,400-490,1770,1917,West Virginia,2018
600-790,676,300-390,536,905,West Virginia,2018
400-590,9,200-290,3,47,West Virginia,2018
1400-1600,5847,700-800,7369,7797,Florida,2018
1200-1390,28286,600-690,36018,23162,Florida,2018
1000-1190,55370,500-590,56349,53520,Florida,2018
800-990,63612,400-490,62087,55576,Florida,2018
600-790,23020,300-390,14548,33923,Florida,2018
400-590,611,200-290,375,2768,Florida,2018
1400-1600,3843,700-800,3953,4904,Maryland,2018
1200-1390,10393,600-690,12076,8726,Maryland,2018
1000-1190,16234,500-590,15671,16143,Maryland,2018
800-990,13311,400-490,12723,12640,Maryland,2018
600-790,4217,300-390,3555,5404,Maryland,2018
400-590,42,200-290,62,223,Maryland,2018
1400-1600,661,700-800,634,764,Wisconsin,2018
1200-1390,691,600-690,720,578,Wisconsin,2018
1000-1190,454,500-590,417,453,Wisconsin,2018
800-990,107,400-490,135,111,Wisconsin,2018
600-790,10,300-390,17,17,Wisconsin,2018
400-590,0,200-290,0,0,Wisconsin,2018
1400-1600,10377,700-800,11423,13225,Texas,2018
1200-1390,36033,600-690,43531,31225,Texas,2018
1000-1190,77890,500-590,74804,80269,Texas,2018
800-990,77218,400-490,71970,72407,Texas,2018
600-790,23819,300-390,22974,27485,Texas,2018
400-590,1037,200-290,1672,1763,Texas,2018
1400-1600,414,700-800,435,448,Kansas,2018
1200-1390,513,600-690,515,444,Kansas,2018
1000-1190,361,500-590,337,371,Kansas,2018
800-990,121,400-490,119,128,Kansas,2018
600-790,10,300-390,13,27,Kansas,2018
400-590,0,200-290,0,0,Kansas,2018
1400-1600,295,700-800,325,329,New Mexico,2018
1200-1390,723,600-690,855,611,New Mexico,2018
1000-1190,1108,500-590,1001,1133,New Mexico,2018
800-990,862,400-490,818,844,New Mexico,2018
600-790,237,300-390,226,298,New Mexico,2018
400-590,0,200-290,0,10,New Mexico,2018
1400-1600,346,700-800,425,358,Oklahoma,2018
1200-1390,705,600-690,785,573,Oklahoma,2018
1000-1190,862,500-590,809,906,Oklahoma,2018
800-990,904,400-490,869,900,Oklahoma,2018
600-790,508,300-390,435,551,Oklahoma,2018
400-590,12,200-290,14,49,Oklahoma,2018
1400-1600,1229,700-800,1503,1560,Oregon,2018
1200-1390,4541,600-690,5194,3779,Oregon,2018
1000-1190,7210,500-590,6469,7463,Oregon,2018
800-990,3955,400-490,3733,3808,Oregon,2018
600-790,532,300-390,568,843,Oregon,2018
400-590,9,200-290,9,23,Oregon,2018
1400-1600,426,700-800,472,547,Rhode Island,2018
1200-1390,1532,600-690,1872,1371,Rhode Island,2018
1000-1190,3396,500-590,3193,3389,Rhode Island,2018
800-990,3318,400-490,3200,3182,Rhode Island,2018
600-790,1456,300-390,1373,1556,Rhode Island,2018
400-590,33,200-290,51,116,Rhode Island,2018
1400-1600,2467,700-800,3018,3065,Colorado,2018
1200-1390,9802,600-690,11497,8583,Colorado,2018
1000-1190,19384,500-590,18538,20155,Colorado,2018
800-990,19087,400-490,18551,16641,Colorado,2018
600-790,7942,300-390,7040,9829,Colorado,2018
400-590,108,200-290,146,517,Colorado,2018
1400-1600,695,700-800,706,774,Missouri,2018
1200-1390,880,600-690,929,714,Missouri,2018
1000-1190,612,500-590,561,629,Missouri,2018
800-990,208,400-490,198,249,Missouri,2018
600-790,25,300-390,26,53,Missouri,2018
400-590,0,200-290,0,0,Missouri,2018
1400-1600,314,700-800,337,351,Utah,2018
1200-1390,510,600-690,551,403,Utah,2018
1000-1190,429,500-590,368,470,Utah,2018
800-990,157,400-490,146,165,Utah,2018
600-790,15,300-390,23,36,Utah,2018
400-590,0,200-290,0,0,Utah,2018
1400-1600,897,700-800,1010,991,Tennessee,2018
1200-1390,1579,600-690,1736,1271,Tennessee,2018
1000-1190,1207,500-590,1020,1274,Tennessee,2018
800-990,404,400-490,340,488,Tennessee,2018
600-790,91,300-390,74,153,Tennessee,2018
400-590,3,200-290,1,0,Tennessee,2018
1400-1600,426,700-800,486,515,Delaware,2018
1200-1390,1460,600-690,1866,1178,Delaware,2018
1000-1190,3375,500-590,3326,3431,Delaware,2018
800-990,3942,400-490,3647,3823,Delaware,2018
600-790,1769,300-390,1625,1907,Delaware,2018
400-590,83,200-290,105,201,Delaware,2018
1400-1600,6075,700-800,5896,7794,Massachusetts,2018
1200-1390,15582,600-690,17283,13431,Massachusetts,2018
1000-1190,21938,500-590,20617,22446,Massachusetts,2018
800-990,12826,400-490,12416,11925,Massachusetts,2018
600-790,2880,300-390,3055,3612,Massachusetts,2018
400-590,81,200-290,115,174,Massachusetts,2018
1400-1600,483,700-800,464,716,Hawaii,2018
1200-1390,1779,600-690,2026,1547,Hawaii,2018
1000-1190,3340,500-590,3096,3327,Hawaii,2018
800-990,2017,400-490,2040,1876,Hawaii,2018
600-790,259,300-390,251,408,Hawaii,2018
400-590,2,200-290,3,0,Hawaii,2018
1400-1600,434,700-800,494,433,Louisiana,2018
1200-1390,676,600-690,729,565,Louisiana,2018
1000-1190,585,500-590,518,616,Louisiana,2018
800-990,296,400-490,250,335,Louisiana,2018
600-790,36,300-390,36,78,Louisiana,2018
400-590,0,200-290,0,0,Louisiana,2018
1400-1600,300,700-800,313,313,Iowa,2018
1200-1390,351,600-690,346,306,Iowa,2018
1000-1190,244,500-590,242,252,Iowa,2018
800-990,88,400-490,81,105,Iowa,2018
600-790,11,300-390,12,17,Iowa,2018
400-590,0,200-290,0,0,Iowa,2018
1400-1600,45,700-800,43,46,Wyoming,2018
1200-1390,67,600-690,74,55,Wyoming,2018
1000-1190,42,500-590,39,52,Wyoming,2018
800-990,13,400-490,11,12,Wyoming,2018
600-790,2,300-390,2,0,Wyoming,2018
400-590,0,200-290,0,406,Wyoming,2018
1400-1600,2461,700-800,2493,2991,Ohio,2018
1200-1390,5642,600-690,6322,4789,Ohio,2018
1000-1190,7052,500-590,6633,7325,Ohio,2018
800-990,5521,400-490,5376,5258,Ohio,2018
600-790,2272,300-390,2112,2460,Ohio,2018
400-590,44,200-290,56,169,Ohio,2018
1400-1600,3391,700-800,3853,4386,North Carolina,2018
1200-1390,12907,600-690,15016,11022,North Carolina,2018
1000-1190,22163,500-590,20708,22319,North Carolina,2018
800-990,14176,400-490,13191,13644,North Carolina,2018
600-790,2336,300-390,2184,3551,North Carolina,2018
400-590,14,200-290,35,65,North Carolina,2018
1400-1600,5623,700-800,6052,7700,Pennsylvania,2018
1200-1390,21577,600-690,24988,18370,Pennsylvania,2018
1000-1190,38875,500-590,36669,38751,Pennsylvania,2018
800-990,24705,400-490,23401,23850,Pennsylvania,2018
600-790,5757,300-390,5375,7594,Pennsylvania,2018
400-590,203,200-290,255,475,Pennsylvania,2018
1400-1600,441,700-800,493,482,Alabama,2018
1200-1390,851,600-690,1009,661,Alabama,2018
1000-1190,958,500-590,852,979,Alabama,2018
800-990,534,400-490,462,553,Alabama,2018
600-790,94,300-390,62,202,Alabama,2018
400-590,0,200-290,0,0,Alabama,2018
1400-1600,289,700-800,374,381,Vermont,2018
1200-1390,1195,600-690,1348,1014,Vermont,2018
1000-1190,1765,500-590,1559,1779,Vermont,2018
800-990,936,400-490,910,914,Vermont,2018
600-790,138,300-390,131,231,Vermont,2018
400-590,0,200-290,1,0,Vermont,2018
1400-1600,196,700-800,233,179,Mississippi,2018
1200-1390,274,600-690,297,238,Mississippi,2018
1000-1190,241,500-590,201,272,Mississippi,2018
800-990,86,400-490,71,94,Mississippi,2018
600-790,9,300-390,4,23,Mississippi,2018
400-590,0,200-290,0,,Mississippi,2018
1400-1600,452,700-800,475,598,Nevada,2018
1200-1390,1629,600-690,1823,1409,Nevada,2018
1000-1190,2334,500-590,2233,2278,Nevada,2018
800-990,1089,400-490,966,1112,Nevada,2018
600-790,84,300-390,91,184,Nevada,2018
400-590,0,200-290,0,0,Nevada,2018
1400-1600,3097,700-800,3244,3874,Connecticut,2018
1200-1390,8927,600-690,10784,7272,Connecticut,2018
1000-1190,14274,500-590,13902,14041,Connecticut,2018
800-990,12539,400-490,11774,12088,Connecticut,2018
600-790,5705,300-390,4814,6816,Connecticut,2018
400-590,158,200-290,182,609,Connecticut,2018
1400-1600,187,700-800,196,209,Nebraska,2018
1200-1390,250,600-690,261,188,Nebraska,2018
1000-1190,175,500-590,153,203,Nebraska,2018
800-990,69,400-490,71,72,Nebraska,2018
600-790,7,300-390,7,16,Nebraska,2018
400-590,0,200-290,0,,Nebraska,2018
1400-1600,182,700-800,242,222,Alaska,2018
1200-1390,838,600-690,993,679,Alaska,2018
1000-1190,1414,500-590,1272,1436,Alaska,2018
800-990,805,400-490,733,829,Alaska,2018
600-790,95,300-390,93,167,Alaska,2018
400-590,0,200-290,1,0,Alaska,2018
1400-1600,475,700-800,527,517,Kentucky,2018
1200-1390,704,600-690,773,564,Kentucky,2018
1000-1190,548,500-590,460,598,Kentucky,2018
800-990,186,400-490,146,208,Kentucky,2018
600-790,12,300-390,19,38,Kentucky,2018
400-590,0,200-290,0,0,Kentucky,2018
1400-1600,5179,700-800,5800,6200,Virginia,2018
1200-1390,15602,600-690,18769,12505,Virginia,2018
1000-1190,24169,500-590,22257,24353,Virginia,2018
800-990,14250,400-490,12622,14709,Virginia,2018
600-790,2350,300-390,2061,3694,Virginia,2018
400-590,26,200-290,67,115,Virginia,2018
