Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1400-1600,899,700-800,959,1154,New Hampshire,2018
1200-1390,2925,600-690,3386,2501,New Hampshire,2018
1000-1190,5372,500-590,5071,5450,New Hampshire,2018
800-990,4246,400-490,4069,4014,New Hampshire,2018
600-790,1354,300-390,1300,1602,New Hampshire,2018
400-590,38,200-290,49,113,New Hampshire,2018
1400-1600,3191,700-800,3681,4109,Washington,2018
1200-1390,10926,600-690,12176,9553,Washington,2018
1000-1190,17843,500-590,16347,18289,Washington,2018
800-990,12630,400-490,12447,11907,Washington,2018
600-790,3841,300-390,3726,4427,Washington,2018
400-590,143,200-290,197,289,Washington,2018
1400-1600,74,700-800,82,69,South Dakota,2018
1200-1390,88,600-690,82,83,South Dakota,2018
1000-1190,63,500-590,63,65,South Dakota,2018
800-990,29,400-490,29,36,South Dakota,2018
600-790,6,300-390,4,0,South Dakota,2018
400-590,0,200-290,0,526,South Dakota,2018
1400-1600,501,700-800,593,724,Maine,2018
1200-1390,2157,600-690,2593,1810,Maine,2018
1000-1190,4740,500-590,4627,4758,Maine,2018
800-990,4867,400-490,4575,4622,Maine,2018
600-790,1956,300-390,1825,2202,Maine,2018
400-590,89,200-290,97,194,Maine,2018
1400-1600,7463,700-800,6653,10102,New Jersey,2018
1200-1390,19176,600-690,21736,16825,New Jersey,2018
1000-1190,29865,500-590,28654,29796,New Jersey,2018
800-990,21690,400-490,21623,19740,New Jersey,2018
600-790,6399,300-390,5886,7845,New Jersey,2018
400-590,79,200-290,120,364,New Jersey,2018
1400-1600,20799,700-800,18994,27540,California,2018
1200-1390,52839,600-690,60962,45643,California,2018
1000-1190,90139,500-590,88550,90293,California,2018
800-990,77516,400-490,74891,69941,California,2018
600-790,20620,300-390,18361,27608,California,2018
400-590,315,200-290,470,1203,California,2018
1400-1600,833,700-800,780,991,Minnesota,2018
1200-1390,934,600-690,965,741,Minnesota,2018
1000-1190,557,500-590,553,578,Minnesota,2018
800-990,129,400-490,149,134,Minnesota,2018
600-790,11,300-390,17,19,Minnesota,2018
400-590,0,200-290,0,0,Minnesota,2018
1400-1600,6559,700-800,6782,8584,Illinois,2018
1200-1390,22666,600-690,26535,19902,Illinois,2018
1000-1190,45646,500-590,44895,47065,Illinois,2018
800-990,50277,400-490,48456,46131,Illinois,2018
600-790,20493,300-390,18879,22810,Illinois,2018
400-590,278,200-290,372,1427,Illinois,2018
1400-1600,48,700-800,48,51,North Dakota,2018
1200-1390,55,600-690,63,46,North Dakota,2018
1000-1190,33,500-590,25,42,North Dakota,2018
800-990,11,400-490,10,0,North Dakota,2018
600-790,1,300-390,2,0,North Dakota,2018
400-590,0,200-290,0,0,North Dakota,2018
1400-1600,10598,700-800,9969,15077,New York,2018
