Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1400-1600,885,700-800,976,1100,New Hampshire,2020
1200-1390,2611,600-690,3002,2342,New Hampshire,2020
1000-1190,4947,500-590,4627,4963,New Hampshire,2020
800-990,4175,400-490,4028,3871,New Hampshire,2020
600-790,1461,300-390,1439,1753,New Hampshire,2020
400-590,37,200-290,44,87,New Hampshire,2020
1400-1600,3237,700-800,3706,3964,Washington,2020
1200-1390,9881,600-690,10886,9077,Washington,2020
1000-1190,16956,500-590,15691,17109,Washington,2020
800-990,13127,400-490,13069,12171,Washington,2020
600-790,4042,300-390,3859,4799,Washington,2020
400-590,150,200-290,182,273,Washington,2020
1400-1600,49,700-800,51,52,South Dakota,2020
1200-1390,82,600-690,87,77,South Dakota,2020
1000-1190,77,500-590,68,76,South Dakota,2020
800-990,26,400-490,27,27,South Dakota,2020
600-790,4,300-390,5,0,South Dakota,2020
400-590,0,200-290,0,606,South Dakota,2020
1400-1600,439,700-800,540,614,Maine,2020
1200-1390,1785,600-690,2247,1553,Maine,2020
1000-1190,4456,500-590,4234,4412,Maine,2020
800-990,4428,400-490,4321,4240,Maine,2020
600-790,2376,300-390,2132,2534,Maine,2020
400-590,94,200-290,104,225,Maine,2020
1400-1600,7385,700-800,7016,9525,New Jersey,2020
1200-1390,17738,600-690,19574,16319,New Jersey,2020
1000-1190,27443,500-590,26737,27239,New Jersey,2020
800-990,22479,400-490,22474,20070,New Jersey,2020
600-790,7812,300-390,7042,9395,New Jersey,2020
400-590,131,200-290,145,440,New Jersey,2020
1400-1600,21768,700-800,20879,27487,California,2020
1200-1390,50509,600-690,56829,46643,California,2020
1000-1190,88115,500-590,86842,87378,California,2020
800-990,88464,400-490,89630,78037,California,2020
600-790,34913,300-390,29281,42899,California,2020
400-590,862,200-290,1170,2187,California,2020
1400-1600,643,700-800,622,781,Minnesota,2020
1200-1390,1021,600-690,1042,880,Minnesota,2020
1000-1190,750,500-590,691,735,Minnesota,2020
800-990,170,400-490,223,180,Minnesota,2020
600-790,16,300-390,23,22,Minnesota,2020
400-590,1,200-290,0,0,Minnesota,2020
1400-1600,6292,700-800,6033,9057,Illinois,2020
1200-1390,21354,600-690,23803,19623,Illinois,2020
1000-1190,42999,500-590,42118,44404,Illinois,2020
800-990,44681,400-490,44519,40783,Illinois,2020
600-790,24997,300-390,23799,25156,Illinois,2020
400-590,462,200-290,513,1762,Illinois,2020
1400-1600,31,700-800,31,35,North Dakota,2020
1200-1390,43,600-690,51,40,North Dakota,2020
1000-1190,45,500-590,38,41,North Dakota,2020
800-990,10,400-490,9,11,North Dakota,2020
600-790,3,300-390,3,0,North Dakota,2020
400-590,0,200-290,0,506,North Dakota,2020
1400-1600,11122,700-800,10608,15020,New York,2020
1200-1390,31873,600-690,33626,31139,New York,2020
1000-1190,53367,500-590,51597,52041,New York,2020
800-990,44631,400-490,47088,37897,New York,2020
600-790,18961,300-390,16906,23125,New York,2020
400-590,530,200-290,659,1262,New York,2020
1400-1600,976,700-800,1344,1164,South Carolina,2020
1200-1390,4848,600-690,6127,4079,South Carolina,2020
1000-1190,10922,500-590,10735,10653,South Carolina,2020
800-990,10918,400-490,9995,10431,South Carolina,2020
600-790,3173,300-390,2621,4443,South Carolina,2020
400-590,30,200-290,45,97,South Carolina,2020
1400-1600,86,700-800,107,96,Montana,2020
1200-1390,365,600-690,394,324,Montana,2020
1000-1190,379,500-590,331,392,Montana,2020
800-990,96,400-490,93,102,Montana,2020
600-790,7,300-390,8,19,Montana,2020
400-590,0,200-290,0,0,Montana,2020
1400-1600,3797,700-800,4131,5277,Michigan,2020
1200-1390,14952,600-690,17355,13630,Michigan,2020
1000-1190,33611,500-590,33026,34335,Michigan,2020
800-990,34707,400-490,34104,31938,Michigan,2020
600-790,19484,300-390,17845,20356,Michigan,2020
400-590,312,200-290,402,1327,Michigan,2020
1400-1600,3329,700-800,4169,3972,Georgia,2020
1200-1390,13046,600-690,16119,10685,Georgia,2020
1000-1190,27153,500-590,26456,26671,Georgia,2020
800-990,23712,400-490,21511,23057,Georgia,2020
600-790,5244,300-390,4201,7959,Georgia,2020
400-590,51,200-290,79,191,Georgia,2020
1400-1600,415,700-800,579,572,Idaho,2020
1200-1390,2543,600-690,3180,2196,Idaho,2020
1000-1190,6597,500-590,6595,6662,Idaho,2020
800-990,7324,400-490,6916,6882,Idaho,2020
600-790,3706,300-390,3290,4090,Idaho,2020
400-590,55,200-290,80,238,Idaho,2020
1400-1600,1653,700-800,1860,2093,Arizona,2020
1200-1390,5711,600-690,6140,5187,Arizona,2020
1000-1190,8104,500-590,7457,8131,Arizona,2020
800-990,3630,400-490,3641,3395,Arizona,2020
600-790,531,300-390,531,810,Arizona,2020
400-590,5,200-290,5,18,Arizona,2020
1400-1600,1905,700-800,2258,2510,Indiana,2020
1200-1390,9153,600-690,10571,8561,Indiana,2020
