Total Score Interval,Total,Score Interval,EWR,Math,State,Year
1000-1190,19785,500-590,18173,20000,Indiana,2020
800-990,12610,400-490,12440,11611,Indiana,2020
600-790,2433,300-390,2429,3122,Indiana,2020
400-590,25,200-290,40,107,Indiana,2020
1400-1600,150,700-800,195,165,Arkansas,2020
1200-1390,412,600-690,463,340,Arkansas,2020
1000-1190,462,500-590,387,479,Arkansas,2020
800-990,240,400-490,221,257,Arkansas,2020
600-790,36,300-390,34,58,Arkansas,2020
400-590,0,200-290,0,0,Arkansas,2020
1400-1600,176,700-800,287,226,West Virginia,2020
1200-1390,1230,600-690,1888,969,West Virginia,2020
1000-1190,4625,500-590,4923,4479,West Virginia,2020
800-990,6988,400-490,6405,6578,West Virginia,2020
600-790,4068,300-390,3568,4629,West Virginia,2020
400-590,52,200-290,68,258,West Virginia,2020
1400-1600,5621,700-800,7716,6956,Florida,2020
1200-1390,25776,600-690,32759,21921,Florida,2020
1000-1190,54451,500-590,56478,51281,Florida,2020
800-990,67947,400-490,69604,58944,Florida,2020
600-790,31640,300-390,19311,43101,Florida,2020
400-590,886,200-290,453,4118,Florida,2020
1400-1600,3800,700-800,4154,4629,Maryland,2020
1200-1390,9917,600-690,11335,8646,Maryland,2020
1000-1190,16380,500-590,16487,16057,Maryland,2020
800-990,17004,400-490,16620,15597,Maryland,2020
600-790,9362,300-390,7818,11115,Maryland,2020
400-590,224,200-290,273,643,Maryland,2020
1400-1600,423,700-800,406,553,Wisconsin,2020
1200-1390,767,600-690,766,635,Wisconsin,2020
1000-1190,537,500-590,506,526,Wisconsin,2020
800-990,174,400-490,213,175,Wisconsin,2020
600-790,12,300-390,22,24,Wisconsin,2020
400-590,0,200-290,0,0,Wisconsin,2020
1400-1600,10365,700-800,11670,12603,Texas,2020
1200-1390,34886,600-690,41773,31958,Texas,2020
1000-1190,80416,500-590,78786,81517,Texas,2020
800-990,91099,400-490,87680,83436,Texas,2020
600-790,33911,300-390,30072,40308,Texas,2020
400-590,1342,200-290,2038,2197,Texas,2020
1400-1600,290,700-800,311,333,Kansas,2020
1200-1390,500,600-690,494,455,Kansas,2020
1000-1190,395,500-590,366,385,Kansas,2020
800-990,131,400-490,138,133,Kansas,2020
600-790,14,300-390,19,24,Kansas,2020
400-590,0,200-290,2,0,Kansas,2020
1400-1600,221,700-800,248,250,New Mexico,2020
1200-1390,723,600-690,888,671,New Mexico,2020
1000-1190,1371,500-590,1217,1398,New Mexico,2020
800-990,1173,400-490,1185,1087,New Mexico,2020
600-790,392,300-390,340,456,New Mexico,2020
400-590,3,200-290,5,21,New Mexico,2020
1400-1600,284,700-800,358,353,Oklahoma,2020
1200-1390,1010,600-690,1189,867,Oklahoma,2020
1000-1190,2222,500-590,2264,2359,Oklahoma,2020
800-990,3045,400-490,2776,2924,Oklahoma,2020
600-790,1891,300-390,1847,1880,Oklahoma,2020
400-590,19,200-290,37,88,Oklahoma,2020
1400-1600,1279,700-800,1590,1495,Oregon,2020
1200-1390,4362,600-690,4941,3920,Oregon,2020
1000-1190,7278,500-590,6633,7390,Oregon,2020
800-990,4629,400-490,4410,4398,Oregon,2020
600-790,780,300-390,748,1111,Oregon,2020
400-590,8,200-290,14,22,Oregon,2020
1400-1600,425,700-800,518,566,Rhode Island,2020
1200-1390,1686,600-690,1923,1460,Rhode Island,2020
1000-1190,3314,500-590,3297,3378,Rhode Island,2020
800-990,3605,400-490,3520,3463,Rhode Island,2020
600-790,2361,300-390,2125,2432,Rhode Island,2020
400-590,93,200-290,101,185,Rhode Island,2020
1400-1600,2402,700-800,2769,3154,Colorado,2020
1200-1390,9586,600-690,10998,8628,Colorado,2020
1000-1190,18882,500-590,18490,19259,Colorado,2020
800-990,18673,400-490,18112,17517,Colorado,2020
600-790,10053,300-390,9185,10581,Colorado,2020
400-590,185,200-290,227,642,Colorado,2020
1400-1600,436,700-800,492,508,Missouri,2020
1200-1390,946,600-690,1012,810,Missouri,2020
1000-1190,838,500-590,711,869,Missouri,2020
800-990,294,400-490,295,304,Missouri,2020
600-790,34,300-390,37,56,Missouri,2020
400-590,0,200-290,1,0,Missouri,2020
1400-1600,199,700-800,220,248,Utah,2020
1200-1390,485,600-690,483,439,Utah,2020
1000-1190,445,500-590,418,417,Utah,2020
800-990,141,400-490,142,152,Utah,2020
600-790,16,300-390,23,30,Utah,2020
400-590,0,200-290,0,0,Utah,2020
1400-1600,687,700-800,809,771,Tennessee,2020
1200-1390,1573,600-690,1714,1271,Tennessee,2020
1000-1190,1421,500-590,1257,1522,Tennessee,2020
800-990,603,400-490,522,653,Tennessee,2020
600-790,158,300-390,138,220,Tennessee,2020
400-590,3,200-290,5,0,Tennessee,2020
1400-1600,394,700-800,486,452,Delaware,2020
1200-1390,1302,600-690,1615,1124,Delaware,2020
1000-1190,3062,500-590,3071,3061,Delaware,2020
800-990,3946,400-490,3763,3617,Delaware,2020
600-790,2186,300-390,1920,2529,Delaware,2020
400-590,70,200-290,105,177,Delaware,2020
1400-1600,5850,700-800,6012,7339,Massachusetts,2020
1200-1390,14701,600-690,16002,13400,Massachusetts,2020
1000-1190,20966,500-590,19429,20959,Massachusetts,2020
800-990,12925,400-490,12979,11864,Massachusetts,2020
600-790,3205,300-390,3185,3975,Massachusetts,2020
400-590,108,200-290,148,218,Massachusetts,2020
1400-1600,458,700-800,483,622,Hawaii,2020
1200-1390,1602,600-690,1740,1472,Hawaii,2020
1000-1190,2940,500-590,2826,2959,Hawaii,2020
800-990,1959,400-490,1930,1775,Hawaii,2020
600-790,277,300-390,256,407,Hawaii,2020
400-590,1,200-290,2,0,Hawaii,2020
1400-1600,301,700-800,385,323,Louisiana,2020
1200-1390,687,600-690,759,576,Louisiana,2020
1000-1190,735,500-590,651,734,Louisiana,2020
800-990,399,400-490,332,439,Louisiana,2020
600-790,50,300-390,45,98,Louisiana,2020
400-590,0,200-290,0,0,Louisiana,2020
1400-1600,181,700-800,199,218,Iowa,2020
1200-1390,341,600-690,342,281,Iowa,2020
1000-1190,290,500-590,280,305,Iowa,2020
800-990,111,400-490,102,110,Iowa,2020
600-790,10,300-390,10,19,Iowa,2020
400-590,1,200-290,1,0,Iowa,2020
1400-1600,18,700-800,25,19,Wyoming,2020
1200-1390,60,600-690,59,49,Wyoming,2020
1000-1190,51,500-590,34,61,Wyoming,2020
800-990,8,400-490,19,0,Wyoming,2020
600-790,0,300-390,0,0,Wyoming,2020
400-590,0,200-290,0,0,Wyoming,2020
1400-1600,1967,700-800,2064,2561,Ohio,2020
1200-1390,5594,600-690,6022,4990,Ohio,2020
1000-1190,7965,500-590,7554,8080,Ohio,2020
800-990,6555,400-490,6618,6052,Ohio,2020
600-790,3049,300-390,2839,3359,Ohio,2020
400-590,60,200-290,93,148,Ohio,2020
1400-1600,3275,700-800,3881,4060,North Carolina,2020
1200-1390,11970,600-690,13576,10619,North Carolina,2020
1000-1190,19760,500-590,18078,20236,North Carolina,2020
800-990,13082,400-490,12682,12125,North Carolina,2020
600-790,2482,300-390,2341,3468,North Carolina,2020
400-590,26,200-290,37,87,North Carolina,2020
1400-1600,5341,700-800,6029,6753,Pennsylvania,2020
1200-1390,19030,600-690,21997,17271,Pennsylvania,2020
1000-1190,35421,500-590,33048,35066,Pennsylvania,2020
800-990,24011,400-490,23326,22589,Pennsylvania,2020
600-790,6477,300-390,5819,8359,Pennsylvania,2020
400-590,206,200-290,267,448,Pennsylvania,2020
1400-1600,310,700-800,376,340,Alabama,2020
1200-1390,834,600-690,1053,681,Alabama,2020
1000-1190,1218,500-590,1078,1222,Alabama,2020
800-990,705,400-490,590,724,Alabama,2020
600-790,133,300-390,103,226,Alabama,2020
400-590,1,200-290,1,0,Alabama,2020
1400-1600,282,700-800,395,327,Vermont,2020
1200-1390,1001,600-690,1102,867,Vermont,2020
1000-1190,1670,500-590,1498,1701,Vermont,2020
800-990,1013,400-490,984,975,Vermont,2020
600-790,177,300-390,163,268,Vermont,2020
400-590,4,200-290,5,0,Vermont,2020
1400-1600,145,700-800,171,155,Mississippi,2020
1200-1390,250,600-690,285,214,Mississippi,2020
1000-1190,282,500-590,240,287,Mississippi,2020
800-990,101,400-490,83,108,Mississippi,2020
600-790,12,300-390,11,26,Mississippi,2020
400-590,0,200-290,0,0,Mississippi,2020
1400-1600,397,700-800,438,501,Nevada,2020
1200-1390,1238,600-690,1360,1147,Nevada,2020
1000-1190,1695,500-590,1598,1634,Nevada,2020
800-990,742,400-490,696,724,Nevada,2020
600-790,92,300-390,71,155,Nevada,2020
400-590,0,200-290,1,0,Nevada,2020
1400-1600,2921,700-800,3123,3662,Connecticut,2020
1200-1390,7895,600-690,9355,6810,Connecticut,2020
1000-1190,13039,500-590,12939,12708,Connecticut,2020
800-990,12415,400-490,11719,11497,Connecticut,2020
600-790,6434,300-390,5546,7692,Connecticut,2020
400-590,235,200-290,257,570,Connecticut,2020
1400-1600,121,700-800,126,142,Nebraska,2020
1200-1390,253,600-690,260,216,Nebraska,2020
1000-1190,185,500-590,164,192,Nebraska,2020
800-990,62,400-490,70,64,Nebraska,2020
600-790,5,300-390,6,12,Nebraska,2020
400-590,0,200-290,0,0,Nebraska,2020
1400-1600,134,700-800,198,168,Alaska,2020
1200-1390,682,600-690,757,595,Alaska,2020
1000-1190,1209,500-590,1093,1221,Alaska,2020
800-990,691,400-490,664,676,Alaska,2020
600-790,104,300-390,108,157,Alaska,2020
400-590,2,200-290,2,0,Alaska,2020
1400-1600,280,700-800,336,327,Kentucky,2020
1200-1390,709,600-690,749,612,Kentucky,2020
1000-1190,617,500-590,559,630,Kentucky,2020
800-990,228,400-490,186,242,Kentucky,2020
600-790,19,300-390,23,41,Kentucky,2020
400-590,0,200-290,0,0,Kentucky,2020
1400-1600,5057,700-800,6095,5970,Virginia,2020
1200-1390,14483,600-690,17084,12112,Virginia,2020
1000-1190,22639,500-590,20779,22463,Virginia,2020
800-990,13852,400-490,12386,14118,Virginia,2020
600-790,2415,300-390,2079,3701,Virginia,2020
400-590,39,200-290,62,121,Virginia,2020
